"County","REP","DEM","OTH","ALL"
"ADAMS",32360,19791,9005,61156
"ALLEGHENY",250279,556819,117253,924351
"ARMSTRONG",20374,17582,4191,42147
"BEAVER",37114,65739,12304,115157
"BEDFORD",19371,10072,2746,32189
"BERKS",93598,120547,36211,250356
"BLAIR",46300,28771,10257,85328
"BRADFORD",23282,12163,5045,40490
"BUCKS",178415,189111,68080,435606
"BUTLER",62863,43970,15929,122762
"CAMBRIA",27944,51205,7839,86988
"CAMERON",1764,1500,387,3651
"CARBON",14758,19020,5239,39017
"CENTRE",42979,46828,23142,112949
"CHESTER",150692,128351,58779,337822
"CLARION",12339,9274,2507,24120
"CLEARFIELD",23443,22249,5482,51174
"CLINTON",9806,10284,2879,22969
"COLUMBIA",16759,17054,6075,39888
"CRAWFORD",26700,21995,6016,54711
"CUMBERLAND",81204,52805,24185,158194
"DAUPHIN",74144,81749,23031,178924
"DELAWARE",176167,174595,46576,397338
"ELK",7564,10634,2104,20302
"ERIE",60196,95438,21217,176851
"FAYETTE",23640,60441,7600,91681
"FOREST",1593,1384,255,3232
"FRANKLIN",49601,25731,12074,87406
"FULTON",5430,3025,889,9344
"GREENE",6541,14283,1839,22663
"HUNTINGDON",16210,9673,2941,28824
"INDIANA",23873,24884,8621,57378
"JEFFERSON",15305,10324,2920,28549
"JUNIATA",7850,4421,1276,13547
"LACKAWANNA",39358,96959,13157,149474
"LANCASTER",167063,100056,47448,314567
"LAWRENCE",22762,32946,6001,61709
"LEBANON",43943,26470,11063,81476
"LEHIGH",76493,112948,37012,226453
"LUZERNE",63942,110911,19284,194137
"LYCOMING",35400,24055,8609,68064
"MCKEAN",14377,8262,3222,25861
"MERCER",30346,35897,8995,75238
"MIFFLIN",13999,8059,2387,24445
"MONROE",35579,52101,21199,108879
"MONTGOMERY",214321,253481,83303,551105
"MONTOUR",6325,5159,2034,13518
"NORTHAMPTON",70439,101458,37517,209414
"NORTHUMBERLAND",25532,23221,6225,54978
"PERRY",16746,7339,3160,27245
"PHILADELPHIA",132571,856144,110482,1099197
"PIKE",17842,15397,8601,41840
"POTTER",6692,3217,1004,10913
"SCHUYLKILL",40800,36540,8976,86316
"SNYDER",13324,5658,2591,21573
"SOMERSET",26140,21158,4562,51860
"SULLIVAN",2266,1613,363,4242
"SUSQUEHANNA",14205,8750,3208,26163
"TIOGA",15139,7551,3311,26001
"UNION",12411,7461,4078,23950
"VENANGO",16973,12056,3744,32773
"WARREN",13993,11106,4012,29111
"WASHINGTON",49252,77923,15156,142331
"WAYNE",17109,10512,4956,32577
"WESTMORELAND",90032,122432,25542,238006
"WYOMING",9340,5979,1936,17255
"YORK",135972,101786,42522,280280
