"COUNTY",1996,2000,2004,2008,2012,2016
"ADAMS",84921,91292,98322,101119,101535,102180
"ALLEGHENY",1296037,1281666,1250867,1215103,1230842,1225365
"ARMSTRONG",73872,72392,71395,68790,68367,66486
"BEAVER",187009,181412,178601,172476,170250,167429
"BEDFORD",49322,49984,50230,49727,49375,48325
"BERKS",352353,373638,391640,403595,413331,414812
"BLAIR",131450,129144,127468,125174,126991,124650
"BRADFORD",62352,62761,62569,61233,62847,60770
"BUCKS",578715,597635,617558,621643,625930,626399
"BUTLER",167732,174083,180663,182902,185081,186847
"CAMBRIA",158500,152598,148496,144319,141531,134732
"CAMERON",5745,5974,5652,5266,4946,4677
"CARBON",58783,58802,61194,63558,64963,63594
"CENTRE",131489,135758,140476,144779,155936,161464
"CHESTER",410744,433501,465795,491489,506278,516312
"CLARION",42205,41765,41123,39989,39437,38513
"CLEARFIELD",79640,83382,82913,82896,81479,80596
"CLINTON",37130,37914,37486,37038,39740,39233
"COLUMBIA",64079,64151,65015,65004,66888,66420
"CRAWFORD",89175,90366,89890,88411,87675,86257
"CUMBERLAND",207042,213674,221397,229361,239217,248506
"DAUPHIN",246807,251798,253282,256562,269961,273707
"DELAWARE",547592,550864,555040,553619,560834,563402
"ELK",35141,35112,34064,32268,31627,30480
"ERIE",280570,280843,282355,279175,281541,276207
"FAYETTE",145628,148644,145651,143925,135464,132733
"FOREST",4942,4946,4994,6825,7655,7321
"FRANKLIN",127035,129313,134864,143495,151575,153851
"FULTON",14435,14261,14641,14935,14749,14640
"GREENE",42054,40672,40133,39344,38063,37197
"HUNTINGDON",44977,45586,45995,45543,46052,45634
"INDIANA",90073,89605,89062,87479,88255,86364
"JEFFERSON",46624,45932,45952,45105,44839,44073
"JUNIATA",21793,22821,23391,23146,24900,24863
"LACKAWANNA",213323,213295,209932,209408,214583,211321
"LANCASTER",450834,470658,487332,502370,526864,538500
"LAWRENCE",95780,94643,93374,90272,89713,87294
"LEBANON",117179,120327,124489,128934,135633,138863
"LEHIGH",297802,312090,326050,339989,355403,363147
"LUZERNE",321309,319250,313431,311983,321420,316383
"LYCOMING",119083,120044,118542,116670,117319,115248
"MCKEAN",48156,45936,44708,43537,43234,41883
"MERCER",122155,120293,119797,116652,115806,112913
"MIFFLIN",47006,46486,46210,46062,46832,46342
"MONROE",119581,138687,158925,165058,168567,166098
"MONTGOMERY",708782,750097,774029,778048,809540,821725
"MONTOUR",18044,18236,18069,17705,18454,18343
"NORTHAMPTON",257719,267066,282554,294787,299293,302294
"NORTHUMBERLAND",95897,94556,92879,91091,94512,92541
"PERRY",43727,43602,44652,45185,45720,45820
"PHILADELPHIA",1478002,1517550,1470151,1447395,1550379,1567872
"PIKE",38139,46302,54117,59664,56758,55562
"POTTER",17103,18080,17950,16720,17610,16885
"SCHUYLKILL",152630,150336,147670,147254,147302,143573
"SNYDER",38034,37546,38112,38074,39803,40468
"SOMERSET",80517,80023,79515,77454,77191,75061
"SULLIVAN",6145,6556,6413,6124,6446,6137
"SUSQUEHANNA",42002,42238,42047,40831,42758,40862
"TIOGA",41510,41373,41849,40574,42606,41467
"UNION",40826,41624,42720,43640,45143,45565
"VENANGO",58820,57565,56285,54423,54232,52582
"WARREN",44624,43863,42576,40728,41239,40025
"WASHINGTON",206708,202897,205738,206407,208480,207981
"WAYNE",44718,47722,49561,52016,51695,50710
"WESTMORELAND",376297,369993,368660,361589,363179,355458
"WYOMING",29362,28080,28168,27759,28345,27521
"YORK",368332,381751,401613,424583,437641,443744
